Item code,Item Category,Item Name,Measurement Unit,Price
1,Service,"Operation and maintenance of the HVAC at Tiger's Den-
-Central Air Conditioning System for Tiger' Den,
-Complete Servicing
-Operating and monitoring of AHU-17 Sets, Chilled Water Pump-04 Sets, Fans, Related Panel Boards, BMS System, auto control system
--24/7 Operational team shall have available as a minimum 1 Engineer( five years experienced in BMS, chillers O&M)-  8:00 AM to 8:00 PM, 1 Technician (five years experienced in BMS, chillers O&M) – 8:00  AM to 9:00  PM, 1 Technician (five years experienced in BMS, chillers O&M) – 9:00  PM to 8:00 AM
200,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Aluminium Frame,rft,"1,500.26"
201,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],GI Base Frame,rft,"3,188.06"
202,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],PU Panel,sft,"4,688.32"
203,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Filter Holding Frame (Sliding),rft,468.83
204,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],SS Drain Pan,nos,"46,883.20"
205,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Cooling Coil Baffle Plate,nos,"22,503.94"
206,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Fan Skid,nos,"225,039.36"
207,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Vibration Isolator for Fans,nos,"22,503.94"
208,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Flexible Connection,nos,"9,376.64"
209,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Screw & Bolts,lot,"9,376.64"
210,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Thermal Break Profile,rft,562.60
211,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1/2"" Diaa",Nos,399.00
212,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1"" Dia",Nos,590.00
213,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1.5"" Dia",Nos,790.00
214,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 2"" Dia",Nos,920.00
215,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 2.5"" Dia",Nos,990.50
216,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 3"" Dia",Nos,"1,130.50"
217,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 4"" Dia",Nos,"2,660.00"
218,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 5"" Dia",Nos,"2,668.74"
219,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 6"" Dia",Nos,"3,950.00"
220,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 8"" Dia",Nos,"5,150.00"
221,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 10"" Dia",Nos,"6,300.00"
222,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 12"" Dia",Nos,"7,500.00"
223,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1/2"" Dia",Nos,"1,064.00"
224,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1"" Dia",Nos,"2,100.00"
225,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1.5"" Dia",Nos,"2,650.00"
226,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 2"" Dia",Nos,"3,500.00"
227,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 2.5"" Dia",Nos,"3,950.00"
228,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 3"" Dia",Nos,"4,600.00"
229,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 4"" Dia",Nos,"5,320.00"
230,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 5"" Dia",Nos,0.00
231,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 6"" Dia",Nos,"9,200.00"
232,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 8"" Dia",Nos,"11,900.00"
233,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 10"" Dia",Nos,"13,000.00"
234,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7], Welding rod,Pack,750.00
235,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],End Plate,Nos,700.00
236,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Dad Plug,Nos,266.00
237,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 1"" Dia",Nos,525.00
238,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 1.5"" Dia",Nos,598.50
239,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 2"" Dia",Nos,"1,050.00"
240,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 2.5"" Dia",Nos,"1,250.00"
241,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 3"" Dia",Nos,"1,500.00"
242,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 4"" Dia",Nos,"1,662.50"
243,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 5"" Dia",Nos,"1,067.49"
244,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 6"" Dia",Nos,"1,850.00"
245,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 8"" Dia",Nos,"1,900.00"
246,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 10"" Dia",Nos,"2,020.00"
247,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 12"" Dia",Nos,"2,380.00"
248,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 14"" Dia",Nos,"2,600.00"
249,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 16"" Dia",Nos,"2,700.00"
250,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 1"" Dia",Nos,525.00
251,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 1.5"" Dia",Nos,655.00
252,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 2"" Dia",Nos,785.00
253,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 2.5"" Dia",Nos,920.00
254,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 3"" Dia",Nos,"1,050.00"
255,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 4"" Dia",Nos,"1,197.00"
256,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 5"" Dia",Nos,0.00
257,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 6"" Dia",Nos,"1,570.00"
258,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 8"" Dia",Nos,"1,995.00"
259,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 10"" Dia",Nos,"3,300.00"
260,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Reducer 12"" Dia",Nos,"3,800.00"
261,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],MS nut bolt ,Nos,37.00
262,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Thread tape ,Nos,24.00
263,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Wilding Road ,Pack,"1,500.00"
264,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 1/2"" Dia ",Nos,132.00
265,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 1"" Dia ",Nos,172.90
266,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 1.5"" Dia ",Nos,266.00
267,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 2"" Dia ",Nos,370.00
268,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 2.5"" Dia ",Nos,420.00
269,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 3"" Dia ",Nos,532.00
270,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS socket 4"" Dia ",Nos,798.00
271,Galvanized Iron,"GI Elbo 1/2"" Dia",Nos,79.80
272,Galvanized Iron,"GI Elbo 1"" Dia",Nos,133.00
273,Galvanized Iron,"GI Elbo 1.5"" Dia",Nos,199.50
274,Galvanized Iron,"GI Elbo 2"" Dia",Nos,327.00
275,Galvanized Iron,"GI Elbo 2.5"" Dia",Nos,425.60
276,Galvanized Iron,"GI Elbo 3"" Dia",Nos,660.00
277,Galvanized Iron,"GI Elbo 4"" Dia",Nos,750.00
278,Galvanized Iron,"GI Socket 1/2"" Dia",Nos,53.20
279,Galvanized Iron,"GI Socket 1"" Dia",Nos,79.80
280,Galvanized Iron,"GI Socket 1.5"" Dia",Nos,198.00
281,Galvanized Iron,"GI Socket 2"" Dia",Nos,239.40
282,Galvanized Iron,"GI Socket 2.5"" Dia",Nos,330.00
283,Galvanized Iron,"GI Socket 3"" Dia",Nos,396.00
284,Galvanized Iron,"GI Socket 4"" Dia",Nos,500.00
285,Galvanized Iron,"GI T joint 1/2"" Dia",Nos,266.00
286,Galvanized Iron,"GI T joint 1"" Dia",Nos,532.00
287,Galvanized Iron,"GI T joint 1.5"" Dia",Nos,790.00
288,Galvanized Iron,"GI T joint 2"" Dia",Nos,"1,055.00"
289,Galvanized Iron,"GI T joint 2.5"" Dia",Nos,"1,315.00"
290,Galvanized Iron,"GI T joint 3"" Dia",Nos,"1,570.00"
291,Galvanized Iron,"GI T joint 4"" Dia",Nos,"1,900.00"
292,Galvanized Iron,"GI union 1/2"" Dia",Nos,79.80
293,Galvanized Iron,"GI union 1"" Dia",Nos,133.00
294,Galvanized Iron,"GI union 1.5"" Dia",Nos,199.50
295,Galvanized Iron,"GI union 2"" Dia",Nos,329.00
296,Galvanized Iron,"GI union 2.5"" Dia",Nos,425.60
297,Galvanized Iron,"GI union 3"" Dia",Nos,660.00
298,Galvanized Iron,"GI union 4"" Dia",Nos,750.00
299,Galvanized Iron,"GI Reducer 1/2"" Dia ",Nos,525.00
300,Galvanized Iron,"GI Reducer 1"" Dia ",Nos,655.00
301,Galvanized Iron,"GI Reducer 1.5"" Dia ",Nos,780.00
